median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, lga_code_2021, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1145,46,758,"33100",160,1.0,1441,2.2,744
1343,42,758,"33200",160,0.8,1743,2.3,821
1062,51,1300,"33220",300,0.7,1293,2.3,533
1639,38,1600,"33360",275,0.8,2048,2.5,758
1691,39,1950,"33430",450,0.8,2010,2.5,787
1394,40,1300,"33610",250,0.8,1735,2.5,754
1115,48,1327,"33620",290,0.8,1359,2.4,554
1158,51,1170,"33800",200,0.7,1555,2.2,644
836,28,975,"33830",120,1.1,874,3.1,386
1668,33,1600,"33960",330,0.8,1936,2.8,795
2420,34,1213,"33980",113,0.8,2910,2.6,1314
1132,29,0,"34420",115,1.3,858,3.7,341
1625,43,1733,"34530",350,0.8,2008,2.5,765
1066,27,0,"34570",125,1.2,959,3.4,420
1457,39,1500,"34580",300,0.8,1684,2.7,665
1316,45,863,"37400",150,0.8,2048,2.1,882
684,23,0,"37550",120,1.2,707,3.3,361
840,29,0,"37570",70,1.2,833,3.2,332
1254,25,1392,"37600",150,1.5,911,4.5,337
1473,32,1733,"40070",400,0.9,2220,1.8,780
2067,44,1860,"40120",350,0.8,2416,2.7,892
1143,53,1400,"40220",280,0.7,1428,2.3,606
1266,28,0,"40250",85,1.4,739,4.0,324
1480,45,1458,"40310",295,0.7,1910,2.4,749
975,57,1042,"40430",208,0.7,1320,2.1,525
1169,46,1083,"40520",210,0.7,1485,2.3,637
2069,44,2300,"40700",360,0.8,2686,2.5,970
1590,40,1733,"40910",345,0.8,2058,2.5,758
1381,40,1247,"41010",200,0.8,1794,2.4,764
1110,46,877,"41190",165,0.7,1391,2.3,664
764,50,630,"41330",163,0.8,1380,1.8,498
997,54,1177,"41560",250,0.7,1300,2.2,551
1135,44,953,"41750",150,0.8,1480,2.3,682
1045,53,873,"41830",175,0.7,1489,2.1,634
1194,52,1040,"41960",200,0.7,1463,2.2,668
1324,41,1350,"42030",285,0.7,1728,2.3,701
916,51,867,"42110",190,0.7,1283,2.2,497
1747,45,1400,"42250",200,0.8,2039,2.6,811
1604,48,1950,"42600",340,0.8,2331,2.2,885
1128,50,1023,"42750",208,0.8,1501,2.2,672
912,50,542,"43080",160,0.7,1287,2.2,477
1282,42,860,"43220",150,0.7,1625,2.4,744
1184,53,1170,"43360",200,0.7,1497,2.1,676
1781,40,1500,"43650",280,0.8,2046,2.8,770
1557,44,1300,"43710",240,0.8,1905,2.5,809
1169,48,1083,"43790",204,0.7,1488,2.3,660
1312,44,0,"44000",50,1.3,725,2.3,343
1557,39,1699,"44060",330,0.8,2038,2.4,776
918,54,1083,"44210",201,0.7,1253,2.1,512
1996,42,1981,"44340",335,0.8,2518,2.6,891
1753,39,1602,"44550",350,0.8,2114,2.6,828
1232,41,1127,"44620",220,0.7,1684,2.3,702
1119,55,919,"44830",180,0.7,1406,2.2,600
1109,43,1127,"45040",240,0.7,1398,2.3,603
1435,41,1083,"45090",220,0.8,1797,2.4,786
1147,49,806,"45120",192,0.7,1506,2.2,640
1664,41,2000,"45290",340,0.8,2338,2.2,878
1410,41,1449,"45340",312,0.7,1778,2.4,710
1077,52,650,"45400",150,0.7,1437,2.2,606
717,54,585,"45540",158,0.6,992,1.9,459
1263,33,1300,"45680",266,0.8,1488,2.6,632
1466,37,1600,"45890",300,0.8,1878,2.4,717
1275,38,1153,"46090",200,0.7,1653,2.3,699
1243,41,1300,"46300",240,0.7,1667,2.3,717
1063,44,953,"46450",185,0.7,1459,2.2,570
2005,37,1947,"46510",331,0.9,2488,2.5,964
1226,44,1083,"46670",200,0.8,1538,2.3,674
1220,52,1200,"46860",250,0.7,1694,2.2,736
3140,31,1517,"46970",260,0.8,3467,2.7,1787
1356,36,1300,"47140",300,0.8,1586,2.6,643
1312,45,672,"47290",160,0.7,1740,2.2,757
1109,47,1083,"47490",240,0.8,1433,2.3,652
1470,41,867,"47630",200,0.7,1829,2.4,817
1635,41,1517,"47700",330,0.8,2023,2.5,778
1084,48,880,"47800",190,0.7,1370,2.2,604
1139,52,1138,"47910",210,0.7,1554,2.2,657
1999,43,2167,"47980",350,0.8,2697,2.3,983
980,60,1300,"48050",290,0.7,1255,2.1,545
1138,45,918,"48130",220,0.7,1463,2.4,627
1893,38,975,"51960",200,0.8,2303,2.3,929
1030,57,1200,"52030",210,0.7,1392,2.1,619
2052,45,2167,"48260",380,0.8,2762,2.3,1001
1180,48,953,"48340",180,0.7,1550,2.3,636
1587,38,1733,"48410",310,0.8,2112,2.3,796
1188,41,1083,"48540",180,0.7,1676,2.2,641
1379,43,780,"48640",150,0.7,1895,2.4,810
1052,56,1300,"48750",275,0.7,1353,2.2,567
960,57,997,"48830",200,0.7,1318,2.1,544
1105,42,625,"49399",90,0.8,1417,2.1,773
1350,45,1517,"50080",300,0.7,1757,2.4,710
1774,35,1750,"50210",305,0.8,2061,2.8,815
2937,34,1613,"50250",48,0.9,3310,2.7,1865
1529,42,1733,"50280",350,0.8,1871,2.5,785
1738,40,1801,"50350",330,0.7,2278,2.4,872
1739,38,1880,"50420",340,0.8,2228,2.3,869
1641,36,1733,"50490",350,0.8,2086,2.3,886
1053,55,1160,"50560",200,0.7,1406,2.2,567
1760,42,1690,"50630",280,0.7,2131,2.5,834
1265,47,1212,"50770",220,0.7,1581,2.3,705
1218,51,1408,"50840",280,0.7,1632,2.3,621
1284,50,1300,"50910",200,0.8,1616,2.3,614
2091,34,2167,"50980",300,1.0,2428,2.7,1078
1366,41,781,"51080",168,0.7,1836,2.5,793
1284,48,748,"51120",160,0.8,1762,2.4,817
1326,43,1480,"51190",300,0.7,1760,2.2,725
1459,45,1755,"51260",366,0.7,1866,2.5,751
2964,41,3000,"51310",450,0.8,3898,2.7,1222
1838,36,1828,"51330",355,0.8,2130,2.8,768
1949,38,1733,"51400",350,0.7,2206,2.8,831
1234,46,867,"51470",150,0.7,1766,2.0,731
1401,40,1300,"51540",209,0.9,1909,2.3,793
2046,44,2000,"51610",260,0.8,2286,2.7,932
2044,44,2100,"51680",320,0.8,2258,2.8,798
2252,43,3000,"51750",485,0.8,3388,2.3,1142
1995,37,1950,"51820",370,0.8,2344,2.6,920
1234,44,1300,"51890",250,0.7,1618,2.3,591
1399,47,867,"52100",180,0.7,2007,2.3,838
3303,44,3835,"52170",535,0.8,4597,2.5,1447
1287,46,1083,"52240",168,0.7,1762,2.3,762
1236,51,1127,"52310",200,0.7,1466,2.3,674
682,54,725,"52380",100,0.6,1333,1.5,1145
1496,37,1200,"52450",200,0.7,1971,2.5,714
1812,39,1083,"52520",230,0.7,2198,2.6,1015
1305,51,1560,"52590",310,0.7,1704,2.2,710
1746,40,1690,"52660",340,0.7,2089,2.6,777
1134,50,1517,"52730",300,0.7,1491,2.3,630
1325,32,1629,"52800",100,1.0,1032,2.9,459
1332,49,1562,"52870",290,0.7,1688,2.4,658
1197,45,687,"52940",150,0.7,1531,2.3,758
1260,44,515,"53010",150,0.7,1670,2.3,802
827,50,600,"53080",150,0.7,1224,1.8,654
2288,44,2600,"53150",420,0.8,3178,2.5,1075
2506,34,1083,"53220",105,1.0,2828,2.9,1734
1521,42,1560,"53290",265,0.7,2014,2.4,806
1979,37,2103,"53360",330,0.9,2252,2.5,967
1887,42,2167,"53430",370,0.8,2591,2.2,969
1331,50,1700,"53570",270,0.7,1626,2.4,670
1482,39,780,"53640",180,0.7,2034,2.5,911
2324,34,1600,"54280",300,0.8,2825,2.6,1207
3158,32,2000,"54310",285,0.9,3462,2.8,1545
1217,49,1000,"53710",200,0.7,1784,2.2,747
1656,36,1733,"53780",330,0.8,1930,2.8,727
1536,40,1519,"53800",260,0.7,2003,2.4,777
1098,29,1600,"53920",90,1.3,786,3.3,363
1788,40,1733,"53990",320,0.7,2067,2.7,773
1168,53,1537,"54060",250,0.7,1598,2.2,626
1421,40,1004,"54130",186,0.8,1798,2.4,870
2165,41,2080,"54170",400,0.7,2528,2.7,906
1866,40,1907,"54200",370,0.7,2215,2.6,835
1343,39,1055,"54340",200,0.8,1646,2.5,712
1078,52,867,"54410",160,0.7,1612,2.2,586
1784,39,230,"54480",105,0.7,2187,2.6,1103
1446,45,1073,"54550",200,0.7,2004,2.3,882
1293,46,650,"54620",148,0.7,1875,2.2,860
1341,51,748,"54690",129,0.7,1524,2.2,759
1820,44,546,"54760",169,0.8,2225,2.5,1007
1716,33,1724,"54830",315,0.8,1996,2.7,812
1715,41,1000,"54900",180,0.7,2100,2.4,1001
966,37,413,"54970",80,0.9,988,2.5,1569
1951,33,683,"55040",93,0.9,2401,2.5,1508
1273,45,1733,"55110",300,0.7,1651,2.4,631
1211,47,1300,"55180",230,0.7,1616,2.3,675
1243,34,650,"55250",115,0.9,1292,2.4,1010
2096,42,2200,"55320",400,0.7,2654,2.6,909
1547,44,778,"55950",155,0.8,1875,2.3,756
1260,39,397,"55390",150,1.0,1208,2.1,1722
1380,41,1078,"55460",210,0.7,1869,2.3,755
1468,47,729,"55530",150,0.7,1937,2.4,806
1907,44,1950,"56090",350,0.7,2270,2.6,817
1445,44,1000,"55600",225,0.7,1906,2.3,803
1443,42,500,"55670",190,0.8,1676,2.3,742
1087,49,1000,"56860",88,0.7,1268,2.1,640
2132,42,3000,"55740",300,0.8,3456,2.4,1030
1204,42,542,"55810",175,0.8,1375,2.1,863
1396,47,650,"55880",145,0.7,1802,2.3,868
1649,36,1800,"56160",139,0.9,1674,2.6,833
1368,45,1750,"56230",300,0.7,1742,2.5,629
1094,56,1400,"56300",254,0.8,1381,2.1,581
1483,47,720,"56370",150,0.7,1875,2.3,923
1310,43,1191,"56460",240,0.7,1802,2.2,734
3226,43,3500,"56580",520,0.8,4244,2.8,1178
1228,30,0,"56620",65,1.2,878,3.5,369
1316,43,1393,"56730",250,0.7,1631,2.4,660
1110,53,1300,"56790",250,0.7,1450,2.2,607
4565,42,4167,"56930",440,0.7,5012,2.7,1501
949,60,1517,"57630",70,0.6,1833,1.5,675
2097,33,1972,"57700",380,0.8,2242,3.0,909
1187,43,1387,"57770",220,0.8,1818,2.1,787
2004,39,2200,"57840",360,0.8,2761,2.2,1010
1786,38,1967,"57910",340,0.8,2332,2.4,912
2140,40,2539,"57980",400,0.9,3242,2.1,1210
1843,35,1842,"58050",340,0.8,2109,2.8,840
1125,46,563,"58190",161,0.8,1583,2.5,701
1366,42,650,"58260",120,0.8,1696,2.3,748
1652,43,780,"57000",170,0.7,2018,2.3,1305
1931,33,1924,"57080",400,1.0,2480,1.8,1053
996,52,867,"57140",200,0.7,1340,2.2,585
1181,48,1278,"57210",225,0.8,1491,2.3,626
2865,32,1517,"57280",225,0.9,3264,2.7,1532
1129,54,800,"57350",130,0.7,1445,2.2,607
1655,42,1029,"57420",250,0.7,2019,2.2,926
1724,36,1733,"57490",330,0.7,2077,2.6,786
1400,42,1400,"64810",350,0.8,1719,2.4,726
1332,44,1300,"65010",250,0.8,1605,2.5,660
863,57,1083,"65210",250,0.8,1174,2.0,509
1138,48,1200,"65410",240,0.8,1516,2.3,605
958,47,650,"65610",160,0.7,1406,2.0,548
1272,54,1564,"58330",285,0.7,1579,2.3,624
864,55,531,"58400",120,0.6,1125,1.9,512
1402,45,1364,"65810",300,0.8,1758,2.4,700
1300,37,826,"58470",75,0.9,1312,2.9,484
1844,36,2000,"58510",350,0.8,2473,2.2,987
2142,34,1800,"70200",375,0.9,2484,2.6,1131
1653,48,537,"58540",150,0.7,2200,2.3,963
2209,36,2197,"58570",400,0.9,3050,2.2,1193
1183,49,875,"58610",195,0.7,1718,2.2,686
1687,49,1600,"58680",200,0.7,2100,2.4,824
1894,35,1900,"58760",350,0.8,2148,2.8,817
1312,48,1625,"58820",260,0.7,1701,2.4,620
1325,50,915,"58890",143,0.7,1708,2.2,804
1318,48,400,"59030",85,0.7,1465,2.2,817
2199,31,2037,"72800",400,0.9,2453,2.8,1133
1320,29,1290,"73600",75,1.7,756,4.1,288
757,30,845,"74050",80,1.3,551,3.4,240
1194,27,1170,"74550",85,1.3,875,3.5,392
1256,47,867,"59100",139,0.7,1662,2.4,742
1355,52,1597,"74560",250,1.0,1768,2.1,826
1523,28,488,"74660",80,1.6,771,4.2,285
804,26,0,"74680",50,1.9,467,4.9,196
2087,35,1785,"79399",123,1.0,2805,2.4,1160
1739,41,1285,"59170",200,0.7,2243,2.4,1015
1109,35,0,"59250",118,1.0,767,2.4,1196
2373,35,2080,"89399",450,0.8,2872,2.5,1204
1199,49,1300,"99399",228,0.8,1630,2.2,728
1269,44,993,"59310",180,0.7,1757,2.3,767
1385,45,1148,"59320",150,0.8,1663,2.5,741
916,54,650,"59330",150,0.6,1481,1.9,582
1858,33,2000,"59340",230,1.0,2082,2.7,1016
1575,34,223,"59350",150,0.9,1583,2.6,1397
1370,47,790,"59360",150,0.6,2057,2.0,1128
1127,56,1404,"59370",260,0.7,1538,2.2,604
836,56,1083,"60210",240,0.8,1132,2.0,484
1352,35,1392,"60410",280,0.9,1593,2.6,700
1225,40,1129,"60610",240,0.8,1598,2.3,661
1209,48,1300,"60810",250,0.8,1562,2.3,634
1013,50,900,"61010",200,0.8,1400,2.1,569
1270,41,1083,"61210",220,0.8,1614,2.4,670
1602,41,1541,"61410",350,0.8,1991,2.4,820
1244,42,1235,"61510",285,0.8,1518,2.5,619
1167,43,1200,"61610",250,0.8,1495,2.3,630
1039,48,1083,"61810",220,0.7,1358,2.2,583
1057,57,867,"62010",139,0.7,1542,2.0,678
996,49,1083,"62210",220,0.7,1272,2.2,519
1005,57,1103,"62410",250,0.8,1289,2.1,596
1325,37,1337,"62610",325,0.9,1632,2.4,691
1842,37,1800,"62810",390,0.9,2324,2.3,886
1227,46,1300,"63010",290,0.8,1514,2.4,609
1207,49,1248,"63210",230,0.8,1470,2.4,604
1330,45,1083,"63410",190,0.7,1719,2.1,845
1667,41,1625,"63610",380,0.8,2025,2.5,796
1256,49,1322,"63810",260,0.8,1534,2.3,645
1310,39,1300,"64010",278,0.8,1677,2.3,694
1290,46,1322,"64210",270,0.8,1675,2.4,670
1259,46,1300,"64610",250,0.8,1618,2.3,683
1474,30,1087,"70420",115,1.2,1035,3.2,456
680,32,0,"70540",75,1.2,661,3.2,272
1122,28,498,"70620",75,1.4,635,4.1,272
996,51,1517,"70700",175,0.9,1379,2.1,607
2188,35,2000,"71000",380,0.9,2463,2.6,1111
1395,28,997,"71300",80,1.7,775,4.8,290
2116,33,1625,"72200",295,1.0,2353,2.7,1072
2346,39,2253,"72300",380,1.0,2675,2.8,1119
1151,30,758,"72330",75,1.4,743,3.8,286
